date,year,month,region,nhpi,status,nhpi_growth_pct
1993-10-01,1993,10,Alberta,38.0,,0.0
1993-11-01,1993,11,Alberta,38.0,,0.0
1993-12-01,1993,12,Alberta,38.3,,0.7894736842105177
1994-01-01,1994,1,Alberta,38.6,,0.783289817232391
1994-02-01,1994,2,Alberta,38.6,,0.0
1994-03-01,1994,3,Alberta,38.8,,0.5181347150258864
1994-04-01,1994,4,Alberta,38.8,,0.0
1994-05-01,1994,5,Alberta,38.6,,-0.5154639175257603
1994-06-01,1994,6,Alberta,38.7,,0.2590673575129543
1994-07-01,1994,7,Alberta,38.7,,0.0
1994-08-01,1994,8,Alberta,38.7,,0.0
1994-09-01,1994,9,Alberta,38.8,,0.2583979328165231
1994-10-01,1994,10,Alberta,38.8,,0.0
1994-11-01,1994,11,Alberta,38.7,,-0.2577319587628746
1994-12-01,1994,12,Alberta,38.7,,0.0
1995-01-01,1995,1,Alberta,38.7,,0.0
1995-02-01,1995,2,Alberta,38.5,,-0.5167958656330796
1995-03-01,1995,3,Alberta,38.8,,0.7792207792207684
1995-04-01,1995,4,Alberta,38.8,,0.0
1995-05-01,1995,5,Alberta,38.8,,0.0
1995-06-01,1995,6,Alberta,38.7,,-0.2577319587628746
1995-07-01,1995,7,Alberta,38.7,,0.0
1995-08-01,1995,8,Alberta,38.7,,0.0
1995-09-01,1995,9,Alberta,38.7,,0.0
1995-10-01,1995,10,Alberta,38.7,,0.0
1995-11-01,1995,11,Alberta,38.6,,-0.25839793281654533
1995-12-01,1995,12,Alberta,38.6,,0.0
1996-01-01,1996,1,Alberta,38.6,,0.0
1996-02-01,1996,2,Alberta,38.6,,0.0
1996-03-01,1996,3,Alberta,38.6,,0.0
1996-04-01,1996,4,Alberta,38.6,,0.0
1996-05-01,1996,5,Alberta,38.5,,-0.2590673575129543
1996-06-01,1996,6,Alberta,38.7,,0.5194805194805197
1996-07-01,1996,7,Alberta,38.8,,0.2583979328165231
1996-08-01,1996,8,Alberta,38.8,,0.0
1996-09-01,1996,9,Alberta,39.0,,0.5154639175257714
1996-10-01,1996,10,Alberta,39.1,,0.2564102564102555
1996-11-01,1996,11,Alberta,39.4,,0.7672634271099765
1996-12-01,1996,12,Alberta,39.8,,1.0152284263959421
1997-01-01,1997,1,Alberta,40.0,,0.5025125628140836
1997-02-01,1997,2,Alberta,40.1,,0.24999999999999467
1997-03-01,1997,3,Alberta,40.3,,0.4987531172069737
1997-04-01,1997,4,Alberta,40.4,,0.24813895781639062
1997-05-01,1997,5,Alberta,40.5,,0.24752475247524774
1997-06-01,1997,6,Alberta,40.7,,0.4938271604938427
1997-07-01,1997,7,Alberta,40.8,,0.24570024570023108
1997-08-01,1997,8,Alberta,40.9,,0.2450980392156854
1997-09-01,1997,9,Alberta,41.1,,0.4889975550122383
1997-10-01,1997,10,Alberta,41.5,,0.9732360097323589
1997-11-01,1997,11,Alberta,41.6,,0.24096385542169418
1997-12-01,1997,12,Alberta,42.0,,0.9615384615384581
1998-01-01,1998,1,Alberta,42.5,,1.1904761904761862
1998-02-01,1998,2,Alberta,42.6,,0.23529411764706687
1998-03-01,1998,3,Alberta,42.8,,0.46948356807510194
1998-04-01,1998,4,Alberta,43.0,,0.4672897196261738
1998-05-01,1998,5,Alberta,43.2,,0.46511627906977715
1998-06-01,1998,6,Alberta,43.6,,0.92592592592593
1998-07-01,1998,7,Alberta,43.8,,0.4587155963302614
