year,region,median_after_tax_income,status
1992,Canada,57800.0,
1992,Newfoundland and Labrador,53100.0,
1992,Prince Edward Island,53600.0,
1992,Nova Scotia,53100.0,
1992,New Brunswick,52000.0,
1992,Quebec,52200.0,
1992,Ontario,64700.0,
1992,Manitoba,52400.0,
1992,Saskatchewan,51900.0,
1992,Alberta,56800.0,
1992,British Columbia,58400.0,
1993,Canada,56400.0,A
1993,Newfoundland and Labrador,52000.0,A
1993,Prince Edward Island,52300.0,A
1993,Nova Scotia,52600.0,A
1993,New Brunswick,52100.0,A
1993,Quebec,50100.0,A
1993,Ontario,62600.0,A
1993,Manitoba,52600.0,A
1993,Saskatchewan,49500.0,A
1993,Alberta,59900.0,A
1993,British Columbia,58200.0,A
1994,Canada,56800.0,A
1994,Newfoundland and Labrador,51800.0,A
1994,Prince Edward Island,52200.0,A
1994,Nova Scotia,51200.0,A
1994,New Brunswick,52400.0,A
1994,Quebec,51100.0,A
1994,Ontario,62600.0,A
1994,Manitoba,53600.0,A
1994,Saskatchewan,50800.0,A
1994,Alberta,60500.0,A
1994,British Columbia,57700.0,A
1995,Canada,56700.0,A
1995,Newfoundland and Labrador,51400.0,A
1995,Prince Edward Island,54000.0,B
1995,Nova Scotia,50500.0,A
1995,New Brunswick,51200.0,A
1995,Quebec,50700.0,A
1995,Ontario,62800.0,A
1995,Manitoba,53500.0,A
1995,Saskatchewan,50600.0,A
1995,Alberta,59100.0,A
1995,British Columbia,57400.0,A
1996,Canada,55800.0,A
1996,Newfoundland and Labrador,49800.0,A
1996,Prince Edward Island,52700.0,A
1996,Nova Scotia,49700.0,A
1996,New Brunswick,50200.0,A
1996,Quebec,49500.0,A
1996,Ontario,62000.0,A
1996,Manitoba,53400.0,A
1996,Saskatchewan,50700.0,A
1996,Alberta,58400.0,A
1996,British Columbia,56200.0,A
1997,Canada,55600.0,A
1997,Newfoundland and Labrador,48500.0,A
1997,Prince Edward Island,50900.0,A
1997,Nova Scotia,49500.0,A
1997,New Brunswick,50100.0,A
1997,Quebec,48700.0,A
1997,Ontario,62500.0,A
1997,Manitoba,53100.0,A
1997,Saskatchewan,51000.0,A
1997,Alberta,61500.0,A
1997,British Columbia,55800.0,A
1998,Canada,57100.0,A
1998,Newfoundland and Labrador,48900.0,B
1998,Prince Edward Island,50200.0,B
1998,Nova Scotia,50300.0,A
1998,New Brunswick,51100.0,A
1998,Quebec,49600.0,A
1998,Ontario,65000.0,A
1998,Manitoba,54600.0,B
1998,Saskatchewan,51000.0,A
1998,Alberta,61600.0,A
1998,British Columbia,57400.0,A
1999,Canada,59600.0,A
1999,Newfoundland and Labrador,51100.0,B
1999,Prince Edward Island,49600.0,B
1999,Nova Scotia,53500.0,A
1999,New Brunswick,53200.0,A
1999,Quebec,52500.0,A
1999,Ontario,68300.0,A
1999,Manitoba,56300.0,A
1999,Saskatchewan,53200.0,A
1999,Alberta,63800.0,A
1999,British Columbia,58300.0,A
2000,Canada,60000.0,A
2000,Newfoundland and Labrador,51200.0,B
2000,Prince Edward Island,51400.0,B
2000,Nova Scotia,53000.0,A
2000,New Brunswick,54200.0,A
2000,Quebec,52500.0,A
2000,Ontario,69000.0,A
2000,Manitoba,55900.0,A
2000,Saskatchewan,53500.0,A
2000,Alberta,65600.0,A
2000,British Columbia,57100.0,A
2001,Canada,62400.0,A
2001,Newfoundland and Labrador,52000.0,B
2001,Prince Edward Island,50900.0,B
2001,Nova Scotia,54700.0,A
2001,New Brunswick,55400.0,A
2001,Quebec,54500.0,A
2001,Ontario,70400.0,A
2001,Manitoba,57400.0,A
2001,Saskatchewan,56900.0,A
2001,Alberta,70800.0,A
2001,British Columbia,59800.0,A
2002,Canada,62400.0,A
2002,Newfoundland and Labrador,52400.0,B
2002,Prince Edward Island,52700.0,B
2002,Nova Scotia,53700.0,A
2002,New Brunswick,54000.0,B
2002,Quebec,54900.0,A
2002,Ontario,70300.0,A
2002,Manitoba,57100.0,A
2002,Saskatchewan,55900.0,A
2002,Alberta,69700.0,A
2002,British Columbia,59800.0,A
2003,Canada,62300.0,A
2003,Newfoundland and Labrador,53200.0,B
2003,Prince Edward Island,55000.0,B
2003,Nova Scotia,52800.0,A
2003,New Brunswick,54500.0,A
2003,Quebec,55200.0,A
2003,Ontario,70900.0,A
2003,Manitoba,57600.0,A
2003,Saskatchewan,56000.0,A
2003,Alberta,68500.0,A
2003,British Columbia,58900.0,B
2004,Canada,62700.0,A
2004,Newfoundland and Labrador,52900.0,A
2004,Prince Edward Island,56900.0,B
2004,Nova Scotia,55300.0,A
2004,New Brunswick,54700.0,A
2004,Quebec,56000.0,A
2004,Ontario,71100.0,A
2004,Manitoba,59000.0,B
2004,Saskatchewan,57400.0,A
2004,Alberta,71100.0,A
2004,British Columbia,61600.0,A
2005,Canada,64200.0,A
2005,Newfoundland and Labrador,53800.0,B
2005,Prince Edward Island,57700.0,A
2005,Nova Scotia,56400.0,A
2005,New Brunswick,55800.0,A
2005,Quebec,55900.0,A
2005,Ontario,72400.0,A
2005,Manitoba,60200.0,B
2005,Saskatchewan,57100.0,B
2005,Alberta,74300.0,A
2005,British Columbia,63500.0,A
2006,Canada,65600.0,A
2006,Newfoundland and Labrador,57300.0,B
2006,Prince Edward Island,59600.0,B
2006,Nova Scotia,57300.0,A
2006,New Brunswick,55300.0,A
2006,Quebec,57600.0,A
2006,Ontario,72500.0,A
2006,Manitoba,59800.0,A
2006,Saskatchewan,60200.0,A
2006,Alberta,80000.0,A
2006,British Columbia,64900.0,A
2007,Canada,67300.0,A
2007,Newfoundland and Labrador,59800.0,A
2007,Prince Edward Island,60900.0,B
2007,Nova Scotia,58800.0,B
2007,New Brunswick,58800.0,A
2007,Quebec,58500.0,A
2007,Ontario,73600.0,A
2007,Manitoba,64100.0,A
2007,Saskatchewan,62600.0,A
2007,Alberta,81800.0,A
2007,British Columbia,67900.0,A
2008,Canada,68300.0,A
2008,Newfoundland and Labrador,60000.0,A
2008,Prince Edward Island,61900.0,B
2008,Nova Scotia,58300.0,B
2008,New Brunswick,59200.0,A
2008,Quebec,57800.0,A
2008,Ontario,74600.0,A
2008,Manitoba,67400.0,B
2008,Saskatchewan,66400.0,A
2008,Alberta,85000.0,A
2008,British Columbia,71000.0,A
2009,Canada,68100.0,A
2009,Newfoundland and Labrador,62800.0,A
2009,Prince Edward Island,63300.0,B
2009,Nova Scotia,59300.0,B
2009,New Brunswick,60100.0,A
2009,Quebec,60000.0,A
2009,Ontario,73600.0,A
2009,Manitoba,66700.0,B
2009,Saskatchewan,68800.0,A
2009,Alberta,84400.0,A
2009,British Columbia,67300.0,B
2010,Canada,67500.0,A
2010,Newfoundland and Labrador,61500.0,B
2010,Prince Edward Island,62000.0,B
2010,Nova Scotia,59700.0,A
2010,New Brunswick,60400.0,B
2010,Quebec,59300.0,A
2010,Ontario,73100.0,A
2010,Manitoba,66100.0,A
2010,Saskatchewan,68800.0,A
2010,Alberta,82800.0,A
2010,British Columbia,66500.0,B
2011,Canada,67200.0,A
2011,Newfoundland and Labrador,62000.0,B
2011,Prince Edward Island,61300.0,B
2011,Nova Scotia,61700.0,A
2011,New Brunswick,60600.0,A
2011,Quebec,59300.0,A
2011,Ontario,72300.0,A
2011,Manitoba,66200.0,A
2011,Saskatchewan,70800.0,A
2011,Alberta,82700.0,B
2011,British Columbia,65300.0,A
2012,Canada,69100.0,A
2012,Newfoundland and Labrador,64500.0,B
2012,Prince Edward Island,63400.0,B
2012,Nova Scotia,61000.0,B
2012,New Brunswick,61300.0,B
2012,Quebec,61000.0,A
2012,Ontario,72700.0,A
2012,Manitoba,67100.0,A
2012,Saskatchewan,73500.0,A
2012,Alberta,88400.0,A
2012,British Columbia,67200.0,A
2013,Canada,69500.0,A
2013,Newfoundland and Labrador,70100.0,B
2013,Prince Edward Island,63800.0,B
2013,Nova Scotia,62100.0,A
2013,New Brunswick,61400.0,A
2013,Quebec,61700.0,A
2013,Ontario,72000.0,A
2013,Manitoba,70100.0,A
2013,Saskatchewan,75400.0,B
2013,Alberta,90500.0,A
2013,British Columbia,70000.0,B
2014,Canada,71100.0,A
2014,Newfoundland and Labrador,71400.0,B
2014,Prince Edward Island,63300.0,B
2014,Nova Scotia,62400.0,A
2014,New Brunswick,62100.0,A
2014,Quebec,61300.0,A
2014,Ontario,74200.0,A
2014,Manitoba,70200.0,A
2014,Saskatchewan,80500.0,A
2014,Alberta,92000.0,A
2014,British Columbia,69400.0,A
2015,Canada,70900.0,A
2015,Newfoundland and Labrador,68500.0,B
2015,Prince Edward Island,65300.0,B
2015,Nova Scotia,60700.0,A
2015,New Brunswick,63800.0,A
2015,Quebec,61400.0,A
2015,Ontario,74200.0,A
2015,Manitoba,70600.0,A
2015,Saskatchewan,77600.0,A
2015,Alberta,93100.0,A
2015,British Columbia,67600.0,B
2016,Canada,70900.0,A
2016,Newfoundland and Labrador,70500.0,B
2016,Prince Edward Island,62400.0,B
2016,Nova Scotia,62200.0,B
2016,New Brunswick,62400.0,B
2016,Quebec,61900.0,A
2016,Ontario,73700.0,A
2016,Manitoba,71400.0,A
2016,Saskatchewan,77000.0,A
2016,Alberta,89100.0,A
2016,British Columbia,68900.0,B
2017,Canada,72700.0,A
2017,Newfoundland and Labrador,66900.0,B
2017,Prince Edward Island,61400.0,A
2017,Nova Scotia,61800.0,A
2017,New Brunswick,63700.0,A
2017,Quebec,63200.0,A
2017,Ontario,75700.0,A
2017,Manitoba,72600.0,A
2017,Saskatchewan,77100.0,A
2017,Alberta,88500.0,A
2017,British Columbia,74000.0,A
2018,Canada,72700.0,A
2018,Newfoundland and Labrador,67900.0,A
2018,Prince Edward Island,66600.0,A
2018,Nova Scotia,61600.0,A
2018,New Brunswick,64200.0,A
2018,Quebec,63000.0,A
2018,Ontario,77900.0,A
2018,Manitoba,71300.0,A
2018,Saskatchewan,74800.0,A
2018,Alberta,87000.0,A
2018,British Columbia,71200.0,A
2019,Canada,72500.0,A
2019,Newfoundland and Labrador,63900.0,B
2019,Prince Edward Island,67400.0,B
2019,Nova Scotia,62200.0,A
2019,New Brunswick,64100.0,A
2019,Quebec,64700.0,A
2019,Ontario,76100.0,A
2019,Manitoba,70600.0,A
2019,Saskatchewan,74400.0,A
2019,Alberta,85300.0,A
2019,British Columbia,72800.0,A
2020,Canada,77400.0,A
2020,Newfoundland and Labrador,67300.0,A
2020,Prince Edward Island,69200.0,A
2020,Nova Scotia,66300.0,A
2020,New Brunswick,66400.0,A
2020,Quebec,69500.0,A
2020,Ontario,81700.0,A
2020,Manitoba,73300.0,A
2020,Saskatchewan,78300.0,A
2020,Alberta,88100.0,A
2020,British Columbia,77800.0,A
2021,Canada,76800.0,A
2021,Newfoundland and Labrador,68900.0,B
2021,Prince Edward Island,70200.0,B
2021,Nova Scotia,66700.0,A
2021,New Brunswick,68100.0,A
2021,Quebec,69400.0,A
2021,Ontario,82000.0,A
2021,Manitoba,73000.0,A
2021,Saskatchewan,76200.0,A
2021,Alberta,84400.0,A
2021,British Columbia,77000.0,A
2022,Canada,73900.0,A
2022,Newfoundland and Labrador,64500.0,A
2022,Prince Edward Island,65800.0,A
2022,Nova Scotia,61100.0,A
2022,New Brunswick,63300.0,A
2022,Quebec,68200.0,A
2022,Ontario,78100.0,A
2022,Manitoba,70600.0,A
2022,Saskatchewan,75900.0,A
2022,Alberta,84100.0,A
2022,British Columbia,74100.0,A
2023,Canada,75100.0,A
2023,Newfoundland and Labrador,65500.0,A
2023,Prince Edward Island,65700.0,A
2023,Nova Scotia,62700.0,A
2023,New Brunswick,64700.0,A
2023,Quebec,68300.0,A
2023,Ontario,79400.0,A
2023,Manitoba,71800.0,A
2023,Saskatchewan,74800.0,A
2023,Alberta,86300.0,A
2023,British Columbia,74700.0,A
2024,Canada,75500.0,A
2024,Newfoundland and Labrador,68000.0,A
2024,Prince Edward Island,65900.0,A
2024,Nova Scotia,64200.0,A
2024,New Brunswick,65100.0,A
2024,Quebec,68800.0,A
2024,Ontario,79500.0,A
2024,Manitoba,72000.0,A
2024,Saskatchewan,75500.0,A
2024,Alberta,85300.0,A
2024,British Columbia,75800.0,A
