REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1990-01,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,276.428,,,,3
1990-01,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,13.302,,,,3
1990-01,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,4.811,,,,3
1990-01,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.804,,,,3
1990-01,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,5.84,,,,3
1990-01,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,1.847,,,,3
1990-01,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,62.026,,,,3
1990-01,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,118.51,,,,3
1990-01,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,36.419,,,,3
1990-01,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,9.536,,,,3
1990-01,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.484,,,,3
1990-01,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,25.399,,,,3
1990-01,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,46.171,,,,3
1990-02,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,255.893,,,,3
1990-02,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,18.088,,,,3
1990-02,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,6.115,,,,3
1990-02,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,1.022,,,,3
1990-02,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,5.61,,,,3
1990-02,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,5.341,,,,3
1990-02,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,77.397,,,,3
1990-02,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,77.476,,,,3
1990-02,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,27.423,,,,3
1990-02,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,5.469,,,,3
1990-02,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.219,,,,3
1990-02,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,20.735,,,,3
1990-02,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,55.509,,,,3
1990-03,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,254.693,,,,3
1990-03,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,20.758,,,,3
1990-03,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,6.737,,,,3
1990-03,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,1.469,,,,3
1990-03,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,4.833,,,,3
1990-03,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,7.719,,,,3
1990-03,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,64.967,,,,3
1990-03,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,94.289,,,,3
1990-03,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,30.018,,,,3
1990-03,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,4.401,,,,3
1990-03,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.486,,,,3
1990-03,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,24.131,,,,3
1990-03,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,44.661,,,,3
1990-04,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,215.859,,,,3
1990-04,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,15.211,,,,3
1990-04,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.944,,,,3
1990-04,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.419,,,,3
1990-04,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,8.486,,,,3
1990-04,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,3.362,,,,3
1990-04,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,44.666,,,,3
1990-04,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,72.744,,,,3
1990-04,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,30.785,,,,3
1990-04,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,4.199,,,,3
1990-04,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.773,,,,3
1990-04,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,24.813,,,,3
1990-04,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,52.453,,,,3
1990-05,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,214.111,,,,3
1990-05,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,10.44,,,,3
1990-05,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,3.422,,,,3
1990-05,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.391,,,,3
1990-05,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,4.208,,,,3
1990-05,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,2.419,,,,3
1990-05,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,45.994,,,,3
1990-05,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,78.534,,,,3
1990-05,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,30.659,,,,3
1990-05,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,4.357,,,,3
1990-05,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.991,,,,3
1990-05,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,24.311,,,,3
1990-05,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,48.484,,,,3
1990-06,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,184.819,,,,3
1990-06,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,13.415,,,,3
1990-06,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.971,,,,3
1990-06,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.334,,,,3
1990-06,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,6.379,,,,3
1990-06,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,3.731,,,,3
1990-06,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,55.666,,,,3
1990-06,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,57.692,,,,3
1990-06,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,20.356,,,,3
1990-06,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,3.239,,,,3
1990-06,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.77,,,,3
1990-06,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,15.347,,,,3
1990-06,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,37.69,,,,3
1990-07,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,170.29,,,,3
1990-07,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,10.833,,,,3
1990-07,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.718,,,,3
1990-07,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,1.051,,,,3
1990-07,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,5.033,,,,3
1990-07,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,2.031,,,,3
1990-07,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,43.506,,,,3
1990-07,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,70.119,,,,3
1990-07,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,19.06,,,,3
1990-07,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,3.056,,,,3
1990-07,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.277,,,,3
1990-07,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,14.727,,,,3
1990-07,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,26.772,,,,3
1990-08,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,164.638,,,,3
1990-08,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,12.356,,,,3
1990-08,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.902,,,,3
1990-08,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,1.118,,,,3
1990-08,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,5.741,,,,3
1990-08,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,2.595,,,,3
1990-08,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,48.145,,,,3
1990-08,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,49.298,,,,3
1990-08,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,18.823,,,,3
1990-08,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,3.729,,,,3
1990-08,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,2.044,,,,3
1990-08,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,13.05,,,,3
1990-08,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,36.016,,,,3
1990-09,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,143.973,,,,3
1990-09,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,9.902,,,,3
1990-09,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,2.662,,,,3
1990-09,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.514,,,,3
1990-09,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,4.363,,,,3
